device_label,split_segment,channel_segment,early_tracked_events,early_actions,deliberate_share,later_active,logistic_selected,complement_nb_alpha_0_1,complement_nb_alpha_0_5,complement_nb_alpha_1_0,bernoulli_nb_alpha_0_5,bernoulli_nb_alpha_1_0,gaussian_nb,decision_tree_depth_1,decision_tree_depth_2,extra_trees_shallow
D070,저밀도+의도행동 없음,토스 관측,13,0,0.0,False,0.1883134799727501,1.9738093865062648e-09,4.690184810647343e-09,7.75358675875451e-09,0.00013898135860853855,0.00013750533635632686,1.0764100510795623e-11,0.38781506532062965,0.4193652547149857,0.26138328540918354
D071,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.1669655441051624,9.293454359556303e-05,9.354323195644062e-05,9.430704929850297e-05,4.6301868796074316e-06,7.106588067992796e-06,1.124133487386373e-11,0.10390106350850944,0.02007843137254902,0.16936594620683076
D072,고밀도+의도행동 적음,메인·웹만,28,0,0.0,True,0.9740163301975029,7.33868522939412e-13,8.054484736436025e-13,9.017772711367658e-13,1.7330781827169698e-05,1.905273385544774e-05,0.4530422224281578,0.45461504734473296,0.586905512796952,0.32798792395762844
D073,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.2409650348814163,6.702535138472644e-05,6.690502532870354e-05,6.676273604571526e-05,0.0005006737320797205,0.00036997059632868127,5.004451268413163e-09,0.0891021733255665,0.11122000867522842,0.251754571428797
D074,고밀도+의도행동 적음,토스 관측,20,2,0.1,False,0.10575942645978126,7.816046559334562e-09,9.2208871205567e-09,1.0813379557240064e-08,0.2234906989868329,0.20864584817358123,1.6651404350383939e-09,0.4221554854878847,0.4814281761831454,0.34045499384430966
D075,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.17624863725047873,8.035764730981225e-05,8.083309691452461e-05,8.143164640943252e-05,4.000538812295445e-06,6.187128853351728e-06,1.3300823568657054e-13,0.10059217866997339,0.019594544888662534,0.1678673548661292
D076,고밀도+의도행동 많음,토스 관측,52,7,0.1346153846153846,False,0.5912251539739917,6.018198042345474e-09,7.839059367691196e-09,1.029438064578351e-08,0.9998344445664792,0.9998416785215904,0.6196029403328334,0.7727114727231179,0.8264239529786351,0.5547621239601015
D077,저밀도+의도행동 없음,메인·웹만,7,0,0.0,False,0.30296620218851805,1.761061449356803e-05,1.7640740173061907e-05,1.7681152714669743e-05,3.7023124635827113e-06,5.636739131142921e-06,4.858302437693912e-10,0.4143851314460872,0.38863137684216653,0.1745553250426574
D078,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.1753091537651642,6.962275746804474e-05,6.984438317249824e-05,7.01321989975812e-05,6.382611213839573e-06,9.596209558988188e-06,2.9415144897217018e-09,0.09817634415135068,0.008888888888888889,0.1752748695414949
D079,고밀도+의도행동 많음,토스 관측,49,15,0.3061224489795918,False,0.20737196486756584,8.257519703789002e-05,9.132257091104605e-05,0.00010094425382978694,0.9986014511861382,0.9975796723285627,0.976857313222817,0.47166705970956324,0.5577965647625058,0.49984113646829187
D080,고밀도+의도행동 적음,토스 관측,23,3,0.1304347826086956,False,0.2751861232297492,5.950863361881547e-07,5.46039602266865e-07,4.94062079970698e-07,0.9992557529030713,0.9985059157515049,0.38737589965320746,0.2669957077706194,0.18040054248442086,0.365455095440139
D081,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.24666577286942154,4.853206746284267e-05,4.828316383706159e-05,4.801639560218333e-05,0.00010207943250774337,0.00013995344317445564,2.6663390205270513e-09,0.10852151522521364,0.0745881730778756,0.23267762933268124
D082,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.056689565789763356,0.0002643256980019474,0.00026480491829868774,0.00026545620157841473,1.3694198070719172e-07,7.234138027456858e-07,8.130026273177933e-15,0.09274179418725245,0.0014814814814814814,0.11082553050418503
D083,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.09854452848908588,7.464227542039475e-05,7.517636890429605e-05,7.584533015153213e-05,4.974756372610156e-06,1.3338601196020316e-05,7.2606435634894474e-12,0.09858886491620514,0.0970858518846135,0.16136278884175018
D084,고밀도+의도행동 많음,토스 관측,51,17,0.3333333333333333,False,0.0651628435932734,0.028856997295989884,0.02911713559131178,0.029386700882670508,0.9216565447979417,0.9058658931890904,0.7339483453756506,0.20919155924614816,0.19722936073845218,0.4243056022808126
D085,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05871207365299481,0.0002801741424382185,0.0002815812494228586,0.0002833790814543795,3.922603118491481e-07,1.1368587011972942e-06,1.9942583341381356e-14,0.08209275724751272,0.0015094339622641509,0.11300394227182846
D086,저밀도+의도행동 없음,토스 관측,19,0,0.0,False,0.22036623796706536,1.8813694109883937e-09,1.940726447142402e-09,1.9917293963911643e-09,0.001938814987632343,0.0015868208200389255,7.477296941819067e-07,0.412796385048468,0.2742559664093653,0.294721722615083
D087,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0.0318534460399632,0.0014733498296933022,0.0014854867654301984,0.0015007706461907168,1.3733905238289255e-07,7.416475452200968e-07,7.399983430169738e-15,0.1018499552858576,0.0014285714285714286,0.11047945830864521
D088,저밀도+의도행동 없음,토스 관측,14,0,0.0,False,0.19342506768608186,4.859793861669602e-08,5.138556774243388e-08,5.4211056576529805e-08,0.0006053310009629365,0.00043407726919569774,0.002244985005022711,0.0997052101362931,0.008540305010893246,0.23548932403018777
D089,고밀도+의도행동 적음,토스 관측,28,4,0.1428571428571428,False,0.16051370942937854,9.466715341646717e-09,1.0883222910057567e-08,1.2486211489336182e-08,0.7695816984276362,0.6991676539020976,0.08241960508079661,0.1645752862133248,0.1076809232916482,0.29923033925103715
D090,고밀도+의도행동 많음,토스 관측,58,18,0.3103448275862069,False,0.1713718607209797,0.027843660796761815,0.026477833474705493,0.02508006701711246,0.9999629055193356,0.9999454934424056,0.8799999998226393,0.5135947681779619,0.5120993681265051,0.5750126499740105
D091,저밀도+의도행동 없음,토스 관측,12,0,0.0,False,0.19057657132526695,6.975005770086869e-07,7.340236328825357e-07,7.694704345123385e-07,0.0006735546456503712,0.0004810507793773286,5.134325806341122e-07,0.0981563237986431,0.008540305010893246,0.2175706495608369
D092,저밀도+의도행동 없음,토스 관측,6,0,0.0,False,0.08665544843442045,2.699631431723156e-06,3.0615890019694574e-06,3.5036685037972103e-06,4.2110128632025465e-06,8.21253476805608e-06,2.719936324483473e-16,0.09141483614818079,0.0014814814814814814,0.1602245633082884
D093,저밀도+의도행동 있음,토스 관측,19,1,0.0526315789473684,False,0.1655292836515908,3.592385894402512e-09,4.1712585821670385e-09,4.8614685598589905e-09,0.956888515771679,0.9307954576008085,0.0020978215963759973,0.36192552105744885,0.269014314663881,0.3440773493664902
D094,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.1600292284763799,3.431779631671996e-05,3.483254259343865e-05,3.548089181313376e-05,1.5878443001581042e-06,2.585670274498362e-06,1.7847496599885028e-13,0.10271538520966683,0.02129290974573993,0.13921423671306374
D095,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.16823566762724756,6.997176614200315e-05,7.04876173044901e-05,7.113629370300921e-05,2.4791702906988423e-06,3.869269324693551e-06,1.294502451576805e-11,0.08366935809977764,0.010666666666666666,0.14623262268582482
